evidence_feature,family,fake_source,n_fake,n_real,effect_size,auroc,auroc_ci_lower,auroc_ci_upper,direction,corr_with_v811_fake_prob,corr_with_cam_faithfulness,n_matched_cam,resolution_confound_corr_real,resolution_confound_corr_fake,face_size_confound_corr_real,face_size_confound_corr_fake,direction_consistent_across_sources,between_source_resolution_confound_spearman
tex_local_variance_std,texture,aiguard_unseen,60,210,-0.20351213471961033,0.4282539682539683,0.350234126984127,0.5101666666666667,higher-in-real,-0.004278966379549876,0.5821428571428571,15,-0.148929714201435,0.2895105970040796,-0.4502024291497976,-0.38638510697415956,True,-0.23896380545969867
tex_local_variance_std,texture,stylegan2_ood,60,210,-0.525781734552241,0.37015873015873013,0.30134722222222227,0.44287301587301586,higher-in-real,0.26929702695193114,,0,-0.148929714201435,,-0.4502024291497976,-0.11219783273131426,True,-0.23896380545969867
tex_local_variance_std,texture,df40_dit,44,210,-1.2779540637863454,0.10335497835497835,0.04770021645021645,0.17695887445887443,higher-in-real,-0.053417899929527835,0.7727272727272727,11,-0.148929714201435,,-0.4502024291497976,0.052008456659619444,True,-0.23896380545969867
tex_local_variance_std,texture,df40_sit,45,210,-1.2224810610544516,0.12465608465608466,0.05862169312169312,0.1984232804232804,higher-in-real,-0.51699604743083,0.5428571428571429,6,-0.148929714201435,,-0.4502024291497976,-0.08972332015810276,True,-0.23896380545969867
tex_local_variance_std,texture,df40_ddim,45,210,-1.3066609853317832,0.09333333333333334,0.058198412698412694,0.1363121693121693,higher-in-real,-0.2025032938076416,0.4642857142857144,7,-0.148929714201435,,-0.4502024291497976,-0.0957839262187088,True,-0.23896380545969867
tex_local_variance_std,texture,df40_pixart,45,210,-1.3889580070582288,0.07555555555555556,0.03711375661375662,0.11715079365079364,higher-in-real,-0.36877470355731223,0.5499999999999999,9,-0.148929714201435,,-0.4502024291497976,-0.13017127799736494,True,-0.23896380545969867
tex_local_variance_std,texture,df40_sd21,44,210,-1.2494734347492638,0.12456709956709956,0.07261093073593074,0.1911363636363636,higher-in-real,-0.2634249471458774,0.04761904761904763,8,-0.148929714201435,,-0.4502024291497976,-0.2295983086680761,True,-0.23896380545969867
tex_local_variance_std,texture,midjourney,45,210,-0.09023454423119961,0.5137566137566137,0.43955820105820104,0.5863068783068782,higher-in-real,0.32687747035573117,0.38333333333333336,9,-0.148929714201435,,-0.4502024291497976,-0.5077733860342556,True,-0.23896380545969867
tex_lbp_entropy,texture,aiguard_unseen,60,210,0.7840549729947127,0.7477777777777778,0.6760277777777778,0.8164345238095237,higher-in-fake,-0.34848569046957495,0.15357142857142855,15,0.3074641264619475,0.3109558264117892,0.5359403754140597,-0.3694915254237289,False,-0.35366643208035403
tex_lbp_entropy,texture,stylegan2_ood,60,210,1.0352826061628368,0.7953174603174603,0.7366646825396825,0.8501646825396825,higher-in-fake,-0.10236176715754378,,0,0.3074641264619475,,0.5359403754140597,-0.17126979716587942,False,-0.35366643208035403
tex_lbp_entropy,texture,df40_dit,44,210,-1.8217571505279158,0.06601731601731602,0.0385254329004329,0.0968668831168831,higher-in-real,-0.1919661733615222,0.26363636363636367,11,0.3074641264619475,,0.5359403754140597,0.19027484143763213,False,-0.35366643208035403
tex_lbp_entropy,texture,df40_sit,45,210,-1.6690210248564765,0.09026455026455027,0.05745767195767196,0.1253994708994709,higher-in-real,-0.3486166007905138,0.08571428571428573,6,0.3074641264619475,,0.5359403754140597,-0.458893280632411,False,-0.35366643208035403
tex_lbp_entropy,texture,df40_ddim,45,210,-0.08773002714908966,0.4723809523809524,0.39184920634920634,0.558521164021164,higher-in-real,-0.25942028985507243,0.5714285714285715,7,0.3074641264619475,,0.5359403754140597,-0.22173913043478258,False,-0.35366643208035403
tex_lbp_entropy,texture,df40_pixart,45,210,-4.054005516229516,0.0022222222222222222,0.0,0.006986772486772485,higher-in-real,-0.19380764163372857,0.33333333333333337,9,0.3074641264619475,,0.5359403754140597,-0.10276679841897231,False,-0.35366643208035403
tex_lbp_entropy,texture,df40_sd21,44,210,-1.6160076726195616,0.1906926406926407,0.11577651515151516,0.2710416666666666,higher-in-real,0.015221987315010569,0.7619047619047621,8,0.3074641264619475,,0.5359403754140597,-0.23636363636363636,False,-0.35366643208035403
tex_lbp_entropy,texture,midjourney,45,210,-0.7030763723131103,0.2875132275132275,0.2151269841269841,0.369010582010582,higher-in-real,-0.02555994729907773,0.25,9,0.3074641264619475,,0.5359403754140597,0.5795783926218708,False,-0.35366643208035403
tex_lbp_uniformity,texture,aiguard_unseen,60,210,-0.7132539471940208,0.2588095238095238,0.19093849206349206,0.3307956349206349,higher-in-real,0.3085301472631287,-0.06428571428571428,15,-0.2822286491921105,-0.3109558264117892,-0.4996477207003523,0.34437343706585166,False,0.39190064095390587
tex_lbp_uniformity,texture,stylegan2_ood,60,210,-0.9063783247764388,0.21888888888888888,0.15895833333333334,0.2833353174603174,higher-in-real,0.11486524034454017,,0,-0.2822286491921105,,-0.4996477207003523,0.19916643512086693,False,0.39190064095390587
tex_lbp_uniformity,texture,df40_dit,44,210,1.3777318833308112,0.8856060606060606,0.8435064935064935,0.9238095238095239,higher-in-fake,0.13009161381254405,-0.3727272727272728,11,-0.2822286491921105,,-0.4996477207003523,-0.2493305144467935,False,0.39190064095390587
tex_lbp_uniformity,texture,df40_sit,45,210,1.254135907272319,0.8641269841269841,0.8217804232804232,0.9055238095238095,higher-in-fake,0.3516469038208168,0.3142857142857143,6,-0.2822286491921105,,-0.4996477207003523,0.40316205533596833,False,0.39190064095390587
